run_id,record_tag,timestamp_utc,task_manager,global_planner,local_planner,packages_delivered,pph,simulation_seconds,real_runtime_seconds,agent_count,loading_port_count,unloading_port_count,map_width,map_height,resolution,steps_per_second,total_distance_travelled,avg_distance_travelled,max_distance_travelled,global_plan_calls,replan_events,total_contact_frames,total_collision_events,agent_agent_collision_events,agent_wall_collision_events,state_time_ratios,contact_frame_counts,collision_event_counts,max_queue_lengths
20260804T142106Z_7b1685b7,planner_matrix_baseline_60s_RRTStar_HRVOPlanner_NaiveTaskManager,2026-08-04T14:21:23.544251Z,NaiveTaskManager,RRTStar,HRVOPlanner,0,0.0,60.0,16.673,2,1,1,12,12,1,10,89.944,44.972,73.656,4,0,146,146,0,146,"{""CRUISE"": 0.2063, ""QUEUING"": 0.7937}","{""agent__wall"": 146}","{""agent__wall"": 146}","{""0"": 0}"
20260804T141846Z_c14f2e0a,stage_chain_high_60s_LayeredAStar_VirtualForcePlanner_NaiveTaskManager,2026-08-04T14:21:35.126375Z,NaiveTaskManager,LayeredAStar,VirtualForcePlanner,0,0.0,60.0,168.768,6,3,3,24,24,1,20,101.197,16.866,24.464,2106,136,42,42,42,0,"{""CRUISE"": 0.1453, ""LOADING"": 0.0057, ""QUEUING"": 0.849}","{""agent__agent"": 42}","{""agent__agent"": 42}","{""0"": 0, ""1"": 0, ""2"": 0}"
20260804T142131Z_166571e1,planner_matrix_baseline_60s_RRTStar_DDPlanner_NaiveTaskManager,2026-08-04T14:21:50.657495Z,NaiveTaskManager,RRTStar,DDPlanner,1,60.0,60.0,18.844,2,1,1,12,12,1,10,41.537,20.768,29.02,8,0,15,15,15,0,"{""CRUISE"": 0.1672, ""LOADING"": 0.0366, ""QUEUING"": 0.7962}","{""agent__agent"": 15}","{""agent__agent"": 15}","{""0"": 0}"
20260804T142059Z_eba83036,task_manager_medium_60s_LayeredAStarCollisionAware_DullPlanner_NaiveTaskManager,2026-08-04T14:22:12.728334Z,NaiveTaskManager,LayeredAStarCollisionAware,DullPlanner,6,360.0,60.0,73.635,4,2,2,20,20,1,20,314.084,78.521,81.027,440,404,0,0,0,0,"{""CRUISE"": 0.7179, ""LOADING"": 0.127, ""QUEUING"": 0.1551}",{},{},"{""0"": 0, ""1"": 0}"
20260804T142158Z_1b67a309,planner_matrix_baseline_60s_RRTStar_FLCPlanner_NaiveTaskManager,2026-08-04T14:22:18.186441Z,NaiveTaskManager,RRTStar,FLCPlanner,3,180.0,60.0,19.56,2,1,1,12,12,1,10,111.063,55.532,57.725,20,0,0,0,0,0,"{""CRUISE"": 0.47, ""LOADING"": 0.1314, ""QUEUING"": 0.3985}",{},{},"{""0"": 0}"
20260804T142102Z_105a1a38,stage_chain_medium_60s_LayeredAStarCollisionAware_VirtualForcePlanner_NaiveTaskManager,2026-08-04T14:22:25.801364Z,NaiveTaskManager,LayeredAStarCollisionAware,VirtualForcePlanner,0,0.0,60.0,83.645,4,2,2,20,20,1,20,39.184,9.796,20.775,3141,3133,0,0,0,0,"{""CRUISE"": 0.092, ""QUEUING"": 0.908}",{},{},"{""0"": 0, ""1"": 0}"
20260804T142016Z_8c6636d6,task_manager_high_60s_LayeredAStarCollisionAware_VirtualForcePlanner_CongestionAwareTaskManager,2026-08-04T14:22:38.356064Z,CongestionAwareTaskManager,LayeredAStarCollisionAware,VirtualForcePlanner,0,0.0,60.0,141.684,6,3,3,24,24,1,20,147.227,24.538,48.974,2077,2061,0,0,0,0,"{""CRUISE"": 0.2281, ""LOADING"": 0.0115, ""QUEUING"": 0.7603}",{},{},"{""0"": 0, ""1"": 0, ""2"": 0}"
20260804T142225Z_a8771fa6,planner_matrix_baseline_60s_MARRTStar_DullPlanner_NaiveTaskManager,2026-08-04T14:23:02.285451Z,NaiveTaskManager,MARRTStar,DullPlanner,4,240.0,60.0,36.297,2,1,1,12,12,1,10,153.545,76.772,77.339,21,0,0,0,0,0,"{""CRUISE"": 0.5183, ""LOADING"": 0.1448, ""QUEUING"": 0.3369}",{},{},"{""0"": 0}"
20260804T142143Z_01acdb66,stage_chain_high_60s_LayeredAStarCollisionAware_DullPlanner_NaiveTaskManager,2026-08-04T14:23:43.423015Z,NaiveTaskManager,LayeredAStarCollisionAware,DullPlanner,7,420.0,60.0,120.35,6,3,3,24,24,1,20,480.029,80.005,83.938,513,470,27,27,27,0,"{""CRUISE"": 0.7688, ""LOADING"": 0.1049, ""QUEUING"": 0.1263}","{""agent__agent"": 27}","{""agent__agent"": 27}","{""0"": 0, ""1"": 0, ""2"": 0}"
20260804T142221Z_75351954,task_manager_medium_60s_LayeredAStarCollisionAware_DullPlanner_CongestionAwareTaskManager,2026-08-04T14:23:44.198209Z,CongestionAwareTaskManager,LayeredAStarCollisionAware,DullPlanner,5,300.0,60.0,82.36,4,2,2,20,20,1,20,319.997,79.999,81.041,498,465,7,7,7,0,"{""CRUISE"": 0.7358, ""LOADING"": 0.1134, ""QUEUING"": 0.1507}","{""agent__agent"": 7}","{""agent__agent"": 7}","{""0"": 0, ""1"": 0}"
